,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
1162,1,0,0,0,1,0,0,0,0,1,0.016,0.013000000000000001,0.005,0.4,
1163,1,0,0,0,1,0,0,0,0,1,0.013999999999999999,0.016,0.005,0.3,
1164,1,0,0,0,1,0,0,0,1,0,0.011000000000000001,0.018000000000000002,0.005,0.3,
1165,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.02,0.005,0.3,
1166,1,0,0,0,1,0,0,0,1,0,0.008,0.02,0.005,0.3,
1167,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.019,0.005,0.3,
1168,1,0,0,0,1,0,0,0,1,0,0.008,0.018000000000000002,0.005,0.3,
1169,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.017,0.005,0.4,
1170,1,0,0,0,1,0,0,1,0,0,0.01,0.016,0.005,0.4,
1171,1,0,0,0,1,0,0,1,0,0,0.01,0.015,0.005,0.4,
1172,1,0,0,0,1,0,0,1,0,0,0.013000000000000001,0.013000000000000001,0.005,0.4,
1173,1,0,0,0,1,0,0,1,0,0,0.012,0.015,0.006,0.4,
1174,1,0,0,0,1,0,0,1,0,0,0.01,0.017,0.006,0.4,
1175,1,0,0,0,1,0,0,1,0,0,0.008,0.019,0.006,0.4,
1176,1,0,0,0,1,0,1,0,0,0,0.006999999999999999,0.02,0.006,0.4,
1177,1,0,0,0,1,0,1,0,0,0,0.009000000000000001,0.018000000000000002,0.006,0.5,
1178,1,0,0,0,1,0,1,0,0,0,0.009000000000000001,0.017,0.006,0.6,
1179,1,0,0,0,1,0,1,0,0,0,0.01,0.017,0.006,0.6,
1180,1,0,0,0,1,0,1,0,0,0,0.011000000000000001,0.015,0.006,0.6,
1181,1,0,0,0,1,0,1,0,0,0,0.013999999999999999,0.012,0.006,0.5,
1182,1,0,0,0,1,0,0,0,0,1,0.017,0.009000000000000001,0.006,0.5,
1183,1,0,0,0,1,0,0,0,0,1,0.046,0.002,0.004,0.6,
1184,1,0,0,0,1,0,0,0,0,1,0.044000000000000004,0.002,0.004,0.6,
1185,1,0,0,0,1,0,0,0,0,1,0.042,0.003,0.004,0.6,
1186,1,0,0,0,1,0,0,0,0,1,0.04,0.004,0.004,0.5,
1187,1,0,0,0,1,0,0,0,0,1,0.036000000000000004,0.006999999999999999,0.004,0.5,
1188,1,0,0,0,1,0,0,0,0,1,0.031,0.01,0.004,0.4,
1189,1,0,0,0,1,0,0,0,1,0,0.022000000000000002,0.018000000000000002,0.004,0.4,
1190,1,0,0,0,1,0,0,0,1,0,0.018000000000000002,0.022000000000000002,0.004,0.3,
1191,1,0,0,0,1,0,0,0,1,0,0.015,0.024,0.004,0.3,
1192,1,0,0,0,1,0,0,0,1,0,0.013000000000000001,0.024,0.003,0.3,
1193,1,0,0,0,1,0,0,0,1,0,0.015,0.022000000000000002,0.003,0.3,
1194,1,0,0,0,1,0,0,0,1,0,0.027999999999999997,0.011000000000000001,0.003,0.4,
1195,1,0,0,0,1,0,0,1,0,0,0.024,0.015,0.004,0.4,
1196,1,0,0,0,1,0,0,1,0,0,0.036000000000000004,0.006999999999999999,0.003,0.5,
1197,1,0,0,0,1,0,0,1,0,0,0.043,0.002,0.002,0.7,
1198,1,0,0,0,1,0,0,1,0,0,0.04,0.002,0.003,0.6,
1199,1,0,0,0,1,0,0,1,0,0,0.036000000000000004,0.002,0.002,0.5,
1200,1,0,0,0,1,0,0,1,0,0,0.032,0.002,0.002,0.4,
1201,1,0,0,0,1,0,1,0,0,0,0.027000000000000003,0.006,0.002,0.4,
1202,1,0,0,0,1,0,1,0,0,0,0.021,0.012,0.002,0.4,
1203,1,0,0,0,1,0,1,0,0,0,0.02,0.016,0.002,0.3,
1204,1,0,0,0,1,0,1,0,0,0,0.03,0.008,0.002,0.4,
1205,1,0,0,0,1,0,1,0,0,0,0.037000000000000005,0.003,0.002,0.4,
1206,1,0,0,0,1,0,1,0,0,0,0.03,0.008,0.002,0.4,
1207,1,0,0,0,1,0,0,0,0,1,0.028999999999999998,0.01,0.003,0.3,
1208,1,0,0,0,1,0,0,0,0,1,0.047,0.002,0.004,0.6,
1209,1,0,0,0,1,0,0,0,0,1,0.035,0.008,0.003,0.5,
1210,1,0,0,0,1,0,0,0,0,1,0.04,0.006,0.004,0.5,
1211,1,0,0,0,1,0,0,0,0,1,0.037000000000000005,0.008,0.003,0.4,
1212,1,0,0,0,1,0,0,0,0,1,0.03,0.013000000000000001,0.004,0.3,
1213,1,0,0,0,1,0,0,0,1,0,0.023,0.019,0.003,0.3,
1214,1,0,0,0,1,0,0,0,1,0,0.016,0.024,0.003,0.3,
1215,1,0,0,0,1,0,0,0,1,0,0.015,0.026000000000000002,0.004,0.3,
1216,1,0,0,0,1,0,0,0,1,0,0.012,0.027999999999999997,0.004,0.3,
1217,1,0,0,0,1,0,0,0,1,0,0.011000000000000001,0.027000000000000003,0.004,0.3,
1218,1,0,0,0,1,0,0,0,1,0,0.024,0.017,0.004,0.4,
1219,1,0,0,0,1,0,0,1,0,0,0.033,0.01,0.004,0.5,
1220,1,0,0,0,1,0,0,1,0,0,0.043,0.004,0.005,0.6,
1221,1,0,0,0,1,0,0,1,0,0,0.040999999999999995,0.004,0.005,0.6,
1222,1,0,0,0,1,0,0,1,0,0,0.047,0.002,0.005,0.7,
1223,1,0,0,0,1,0,0,1,0,0,0.044000000000000004,0.002,0.004,0.6,
1224,1,0,0,0,1,0,0,1,0,0,0.033,0.006,0.004,0.5,
1225,1,0,0,0,1,0,1,0,0,0,0.023,0.013999999999999999,0.003,0.5,
1226,1,0,0,0,1,0,1,0,0,0,0.016,0.019,0.004,0.4,
1227,1,0,0,0,1,0,1,0,0,0,0.016,0.021,0.004,0.4,
1228,1,0,0,0,1,0,1,0,0,0,0.018000000000000002,0.02,0.004,0.4,
1229,1,0,0,0,1,0,1,0,0,0,0.022000000000000002,0.019,0.004,0.4,
1230,1,0,0,0,1,0,1,0,0,0,0.027000000000000003,0.013999999999999999,0.004,0.4,
1231,1,0,0,0,1,0,0,0,0,1,0.027999999999999997,0.013999999999999999,0.004,0.4,
1232,1,0,0,0,1,0,0,0,0,1,0.022000000000000002,0.019,0.003,0.3,
1233,1,0,0,0,1,0,0,0,0,1,0.024,0.017,0.004,0.3,
1234,1,0,0,0,1,0,0,0,0,1,0.027000000000000003,0.016,0.004,0.4,
1235,1,0,0,0,1,0,0,0,0,1,0.031,0.013000000000000001,0.005,0.4,
1236,1,0,0,0,1,0,0,0,0,1,0.032,0.015,0.005,0.5,
1237,1,0,0,0,1,0,0,0,1,0,0.028999999999999998,0.024,0.005,0.6,
1238,1,0,0,0,1,0,0,0,1,0,0.03,0.027999999999999997,0.006,0.7,
1239,1,0,0,0,1,0,0,0,1,0,0.024,0.037000000000000005,0.006,0.7,
1240,1,0,0,0,1,0,0,0,1,0,0.034,0.025,0.005,0.6,
1241,1,0,0,0,1,0,0,0,1,0,0.047,0.013000000000000001,0.005,0.6,
1242,1,0,0,0,1,0,0,0,1,0,0.046,0.01,0.005,0.6,
1243,1,0,0,0,1,0,0,1,0,0,0.042,0.012,0.004,0.6,
1244,1,0,0,0,1,0,0,1,0,0,0.048,0.004,0.004,0.6,
1245,1,0,0,0,1,0,0,1,0,0,0.038,0.01,0.004,0.5,
1246,1,0,0,0,1,0,0,1,0,0,0.033,0.013999999999999999,0.004,0.5,
1247,1,0,0,0,1,0,0,1,0,0,0.027999999999999997,0.019,0.004,0.4,
1248,1,0,0,0,1,0,0,1,0,0,0.022000000000000002,0.023,0.004,0.5,
1249,1,0,0,0,1,0,1,0,0,0,0.02,0.022000000000000002,0.005,0.4,
1250,1,0,0,0,1,0,1,0,0,0,0.024,0.019,0.004,0.4,
1251,1,0,0,0,1,0,1,0,0,0,0.027999999999999997,0.013999999999999999,0.004,0.5,
1252,1,0,0,0,1,0,1,0,0,0,0.055999999999999994,0.002,0.004,0.8,
1253,1,0,0,0,1,0,1,0,0,0,0.06,0.002,0.004,0.8,
1254,1,0,0,0,1,0,1,0,0,0,0.06,0.002,0.004,1.0,
1255,1,0,0,0,1,0,0,0,0,1,0.063,0.002,0.005,0.9,
1256,1,0,0,0,1,0,0,0,0,1,0.064,0.001,0.004,0.8,
1257,1,0,0,0,1,0,0,0,0,1,0.06,0.002,0.005,0.8,
1258,1,0,0,0,1,0,0,0,0,1,0.065,0.002,0.005,0.9,
1259,1,0,0,0,1,0,0,0,0,1,0.068,0.002,0.005,0.9,
1260,1,0,0,0,1,0,0,0,0,1,0.06,0.002,0.005,0.8,
1261,1,0,0,0,1,0,0,0,1,0,0.055,0.004,0.006,0.6,
1262,1,0,0,0,1,0,0,0,1,0,0.05,0.008,0.005,0.6,
1263,1,0,0,0,1,0,0,0,1,0,0.045,0.011000000000000001,0.005,0.6,
1264,1,0,0,0,1,0,0,0,1,0,0.040999999999999995,0.012,0.005,0.6,
1265,1,0,0,0,1,0,0,0,1,0,0.039,0.013000000000000001,0.005,0.6,
1266,1,0,0,0,1,0,0,0,1,0,0.043,0.01,0.005,0.7,
1267,1,0,0,0,1,0,0,1,0,0,0.053,0.006,0.004,0.9,
