,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
40,0,1,0,0,0,1,0,0,1,0,1.6,0.035056,2.2,0.03,1.0
41,1,0,0,0,0,1,0,0,0,1,1.608696,0.029792000000000003,0.128571,0.2,1.0
42,1,0,0,1,0,0,1,0,0,0,2.304348,0.025042,0.0,0.3,1.0
43,0,1,1,0,0,0,0,0,0,1,2.5652169999999996,0.036333,1.0,0.291304,1.0
44,1,0,0,1,0,0,0,0,1,0,2.809524,0.01025,0.0,0.3625,1.0
45,0,1,1,0,0,0,0,0,0,1,2.826087,0.040042,0.0,0.3,1.0
46,0,1,1,0,0,0,0,1,0,0,3.086957,0.038,1.7428569999999999,0.2,1.0
47,0,1,0,0,1,0,0,0,0,1,3.130435,0.030917,0.657143,0.008333,1.0
48,0,1,0,0,1,0,0,0,0,1,3.130435,0.030917,0.657143,0.008333,1.0
49,1,0,0,1,0,0,1,0,0,0,3.26087,0.029582999999999998,0.045455,0.26087,1.0
50,1,0,0,1,0,0,0,1,0,0,3.26087,0.029582999999999998,0.045455,0.26087,1.0
51,1,0,0,1,0,0,0,1,0,0,3.26087,0.029582999999999998,0.045455,0.26087,1.0
52,1,0,0,1,0,0,0,0,0,1,3.3478260000000004,0.031583,1.954545,0.175,1.0
53,0,1,0,1,0,0,0,0,0,1,3.3478260000000004,0.031583,1.954545,0.175,1.0
54,1,0,0,1,0,0,0,0,0,1,3.4347830000000004,0.029207999999999998,4.014286,0.245833,1.0
55,0,1,0,1,0,0,0,1,0,0,3.608696,0.020083,0.818182,0.10416700000000001,1.0
56,0,1,0,1,0,0,0,0,0,1,3.869565,0.023042,0.457143,0.408696,1.0
57,0,1,1,0,0,0,0,0,0,1,3.913043,0.034332999999999995,0.030435000000000004,0.21739099999999997,1.0
58,0,1,0,0,1,0,0,0,0,1,4.0434779999999995,0.021167,1.863636,0.24166700000000002,1.0
59,0,1,1,0,0,0,0,0,0,1,4.130434999999999,0.039708,0.045455,0.333333,1.0
60,0,1,0,1,0,0,0,0,0,1,4.217391,0.021833,1.181818,0.154167,1.0
61,0,1,0,0,1,0,1,0,0,0,4.304348,0.029792000000000003,0.0,0.329167,1.0
62,1,0,1,0,0,0,0,0,1,0,4.347826,0.038542,0.328571,0.330435,1.0
63,1,0,0,1,0,0,0,0,0,1,4.391304,0.022958000000000003,0.409091,0.16087,1.0
64,0,1,1,0,0,0,1,0,0,0,4.391304,0.032458,1.4285709999999998,0.204348,1.0
65,1,0,0,0,1,0,0,0,0,1,4.608696,0.025958,1.0714290000000002,0.3,1.0
66,1,0,0,0,0,1,0,0,0,1,4.608696,0.027208,0.272727,0.21739099999999997,1.0
67,0,1,0,1,0,0,0,0,0,1,4.695652,0.029042000000000002,0.045455,0.3,1.0
68,1,0,1,0,0,0,0,0,0,1,4.782609,0.027917,1.181818,0.33913000000000004,1.0
69,1,0,0,1,0,0,0,0,0,1,4.826087,0.031083,0.3,0.245833,1.0
70,1,0,0,0,1,0,0,0,0,1,4.952381,0.025578999999999998,0.0,0.352381,1.0
71,1,0,1,0,0,0,1,0,0,0,5.0,0.0335,0.545455,0.225,1.0
72,0,1,0,1,0,0,0,0,0,1,5.0434779999999995,0.034582999999999996,0.0,0.2,1.0
73,0,1,0,1,0,0,1,0,0,0,5.0434779999999995,0.014792,3.045455,0.216667,1.0
74,0,1,0,0,1,0,0,0,0,1,5.086957,0.0295,1.090909,0.230435,1.0
75,0,1,0,1,0,0,0,0,0,1,5.130434999999999,0.0315,0.742857,0.1,1.0
76,0,1,0,1,0,0,1,0,0,0,5.130434999999999,0.027083,0.26087,0.534783,1.0
77,0,1,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
78,0,1,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
